id,vowel,F1,F2,phonation,f0
F18June26_LRRH_3-13276.914-falsetto,i,628.194,2262.715,falsetto,567.427
F18June26_LRRH_3-26008.808-modal,i,604.12,2249.225,modal,222.712
F18June26_LRRH_3-5297.329-falsetto,i,569.273,2474.387,falsetto,504.494
F18June26_LRRH_3-7172.115-creaky,i,560.743,2529.821,creaky,258.676
F18June26_LRRH_4-1600.828-creaky,i,557.222,2999.724,creaky,208.502
F19June26_LRRH_3-2518.812-falsetto,i,389.546,3084.259,falsetto,289.413
F19June26_LRRH_4-3473.952-modal,i,421.826,2850.769,modal,157.221
F21May14_LRRH_2-4541.306-falsetto,i,912.632,2820.964,falsetto,600.216
F21May14_LRRH_4-1118.255-falsetto,i,489.557,2985.827,falsetto,475.183
F21May14_LRRH_4-3742.133-modal,i,412.382,3194.024,modal,224.268
F22May05_LRRH_1-14064.694-breathy,i,399.158,2886.235,breathy,323.221
F22May05_LRRH_4-3373.155-creaky,i,393.076,2911.352,creaky,186.675
F23April30_LRRH_2-4724.359-breathy,i,439.623,3154.35,breathy,323.039
F23April30_LRRH_4-3540.474-modal,i,506.731,2629.94,modal,278.544
F23May30_LRRH_1-16061.094-falsetto,i,548.362,2963.433,falsetto,440.655
F23May30_LRRH_2-4214.531-falsetto,i,631.119,3245.898,falsetto,611.026
F23May30_LRRH_3-30405.063-falsetto,i,743.979,3333.486,falsetto,738.754
F23May30_LRRH_4-3594.424-falsetto,i,497.608,2717.858,falsetto,431.052
F24June04_LRRH_1-17826.246-breathy,i,355.808,2727.405,breathy,275.113
F28September10_LRRH_3-3297.436-falsetto,i,425.735,2763.731,falsetto,406.305
F35September10_LRRH_4-4202.257-modal,i,410.025,2342.681,modal,204.592
M18September8_LRRH_3-3829.419-breathy,i,353.771,2583.582,breathy,189.988
M18September8_LRRH_4-2124.522-modal,i,359.599,2553.017,modal,118.092
M18September8_LRRH_4-4956.195-breathy,i,276.892,2541.152,breathy,117.431
M21April28_LRRH_1-17127.715-breathy,i,329.3,2683.525,breathy,194.821
M21May23_LRRH_3-2756.492-modal,i,307.007,2580.889,modal,152.886
M21May23_LRRH_4-3817.283-modal,i,284.317,2744.697,modal,115.093
M22April08_LRRH_4-2939.379-breathy,i,647.609,2505.957,breathy,139.113
M22April11_LRRH_2-3921.511-falsetto,i,403.689,2673.146,falsetto,375.639
M22June03_LRRH_4-4234.039-modal,i,359.563,2318.466,modal,103.444
M24April09_LRRH_2-2431.71-falsetto,i,543.917,2456.564,falsetto,354.696
M24April09_LRRH_2-3186.804-falsetto,i,421.239,2442.281,falsetto,330.574
F18June26_LRRH_1-4716.935-modal,a,908.504,1878.777,modal,307.017
F18June26_LRRH_1-6682.633-breathy,a,876.419,1644.333,breathy,246.459
F18June26_LRRH_1-965.502-falsetto,a,927.157,1779.446,falsetto,446.826
F18June26_LRRH_2-803.583-falsetto,a,1034.216,1773.775,falsetto,443.821
F18June26_LRRH_3-14626.745-falsetto,a,948.309,1874.236,falsetto,477.6
F18June26_LRRH_3-14994.704-modal,a,903.738,1784.945,modal,323.819
F18June26_LRRH_3-22375.766-modal,a,881.299,1864.318,modal,298.064
F18June26_LRRH_3-22497.669-modal,a,720.375,2103.301,modal,216.584
F18June26_LRRH_3-23665.199-modal,a,968.518,1720.569,modal,314.093
F18June26_LRRH_3-25928.307-modal,a,858.753,1748.099,modal,240.776
F18June26_LRRH_3-26069.382-modal,a,971.728,1870.641,modal,218.359
F18June26_LRRH_3-29236.699-falsetto,a,988.306,2050.363,falsetto,440.171
F18June26_LRRH_3-30411.425-creaky,a,1061.107,1779.744,creaky,287.258
F18June26_LRRH_3-3478.724-falsetto,a,1115.275,1868.086,falsetto,320.532
F18June26_LRRH_3-3669.454-creaky,a,1124.747,1752.043,creaky,182.045
F18June26_LRRH_3-7594.762-modal,a,906.366,1812.268,modal,250.356
F18June26_LRRH_4-2549.984-falsetto,a,895.272,1900.299,falsetto,474.599
F19June26_LRRH_1-1040.121-breathy,a,1125.32,1939.236,breathy,167.898
F19June26_LRRH_1-11869.834-breathy,a,1107.537,1990.826,breathy,156.29
F19June26_LRRH_1-5318.872-modal,a,935.092,1773.982,modal,266.411
F19June26_LRRH_1-7335.131-modal,a,841.398,1722.665,modal,142.514
F19June26_LRRH_1-8851.102-breathy,a,1044.087,1819.701,breathy,153.354
F19June26_LRRH_2-221.226-modal,a,810.784,1766.518,modal,207.351
F19June26_LRRH_3-12796.207-falsetto,a,943.223,1779.293,falsetto,397.851
F19June26_LRRH_3-22245.689-falsetto,a,637.958,1673.91,falsetto,362.136
F19June26_LRRH_3-26750.672-modal,a,888.854,1921.31,modal,177.076
F19June26_LRRH_3-28396.887-breathy,a,625.458,1929.49,breathy,255.469
F19June26_LRRH_3-30785.425-modal,a,830.487,1624.595,modal,198.792
F19June26_LRRH_3-30928.867-modal,a,880.335,1822.203,modal,176.305
F19June26_LRRH_3-35932.672-falsetto,a,1073.046,1871.148,falsetto,301.692
F19June26_LRRH_3-8764.958-modal,a,894.065,1891.106,modal,158.929
F21May14_LRRH_1-10130.49-modal,a,1000.735,1793.922,modal,216.701
